"name","comment","date","rating"
"leti","The highway sequence (car chase shootout, into motorcycle weaving through oncoming traffic, into kung fu atop a moving semi-truck) is the absolute gold standard for every action movie since 2003. Unbelievable sequence. They actually built a highway on a studio backlot to film the thing. Like, holy shit.","01 Apr 2024",3
"JosueVillatoro","its so weak in front of the first movie... but i liked it","01 Apr 2024",4
"Kara","Continuing on with The Matrix saga, I watched its sequel after a while and even considered it to be my favorite for quite some time. And after viewing it, that opinion altered a little bit. This is nowhere near a terrible film, but when compared to its predecessor I will admit that in some aspects, it's inferior. The whole team behind this film returns, including The Wachowski’s, but this time around, it felt more like a fun action sci-fi film…","01 Apr 2024",4
"gabigabi3","ok to be fair I would also barter info for a kiss from keanu","01 Apr 2024",5
"Jorge Duque","foda tá","01 Apr 2024",2
"Joshua","if this shit was real life I’d 100% be on the general’s side morpheus and his leather homies sounding like a cult","01 Apr 2024",4
"Blaine","Lowkey fire","01 Apr 2024",5
"renee fournier","“ Choice is an illusion created between those with power and those without. ”","01 Apr 2024",4
NA,"The second Matrix film is all about choice. The choices of everyone; how they affect themselves and each other. Choices that are predetermined and cannot be affected, and choices that can be made but have dire consequences. It's a brilliant plot device for this second film, which I enjoyed just as much as the first. Neo ripping off Superman is pretty fun, and the antagonists of this story are all very interesting, especially the newly upgraded and rouge Agent Smith.",NA,NA
NA,"the power of love brought trinity back to life and i think that's beautiful",NA,NA
"mikeydgarcia","they ain’t lyin about the freeway being a dangerous place","01 Apr 2024",2
"julio","This was inscrutably bad","01 Apr 2024",1
"Lucio Gambetti","Muy buena","01 Apr 2024",3
"James","Some ropey CGI mixed with breath taking action. Mind bending philosophy mixed with an orgy rave...","30 Mar 2024",3
"Jake","VICTIMS OF CAUSALITY","01 Apr 2024",5
"Poppy9","Fate is just another system of control. Reject fate, embrace hope.","01 Apr 2024",3
"sweetyourock","The CGI was as ridiculous as i remembered but I still liked it.","01 Apr 2024",4
"Lana","The action scenes still slap so hard, and now that I’ve rewatched it relatively recently and remembered how weird it was, I really did enjoy how unabashedly strange (yet sincere) the Wachowski’s decided to make the follow-up to one of the most successful and influential films of the 1990s. On this rewatch I was also reminded how much I love to say Merovingian. But seriously, it’s still INSANE that that exposition dump from the Architect is in a film of this magnitude.","01 Apr 2024",3
"ry","I have no idea why Wachowski tried to assure us that Trinity is straight. It’s more impossible than the Matrix existing.","01 Apr 2024",3
"ignatz_maria","pretty great follow-up to a movie that felt like a setup for something more. it's fun how they complicate the straightforward chosen one narrative and turn it into something completely different. this is also another good example of cgi being used effectively as its own thing without trying to ape practical effects lmao. fun time","01 Apr 2024",2
"El Templo Del Geek","it rules how the wachowskis made the first matrix as this dumb, shlocky but perfectly calibrated action movie about how they’re the dumbest anarchists in the world only to follow up with a sequel that’s a dumb, schlocky but perfectly calibrated action movie about how they’re really fucking smart anarchists. and they are! i esp enjoyed them giving the “we want everything” slogan to agent smith. anyway. it rules that they basically absorb a dozen different genre tropes into something…","30 Mar 2024",NA
"matilda1306","Una secuela digna de The Matrix?? Pues claramente no","26 Feb 2024",NA
NA,"Tiene escenas muy largas, donde en algunas no pasa absolutamente nada",NA,NA
NA,"Escenas que podrían haber sido cortadas porque dura demasiado la acción y el CGI, en ocasiones, parece de PS2",NA,NA
NA,"Aún así, entretiene 👌🏻",NA,NA
NA,"Can’t remember anything just keanu",NA,NA
"vivdiv","Silent keanu","01 Apr 2024",1
"cfranks","The action and world building still hold up for me. It was a letdown at the time, but I still enjoy this one very much.","01 Apr 2024",4
"deadwitchflying","This review may contain spoilers. I can handle the truth.","01 Apr 2024",5
"Kchao","Revisiting the Matrix TrilogyLog #2 - The Matrix Reloaded","01 Apr 2024",3
"Els Cronin","INTRODUCTIONJust like the first movie, my history with Reloaded goes way back. At the time, it was one of the first DVDs I bought myself with my own money. At the time, I think this was my least favourite in the franchise, but that's not the case anymore.","01 Apr 2024",3
"jinroger","THE PROBLEM IS CHOICEThe first movie questioned the fabric of reality extensively. Our perspective was that of a newcomer to…","01 Apr 2024",3
"Dan Rohde","Оч странные ощущения от просмотра,когда вроде так много бесполезного впихнули,но вроде и сильно от этого не страдаешь.Фильм вытаскивается боевкой и в целом всем,что происходит внутри матрицы(пускай там плохая графика,но свой шарм в ней есть,разве что больно уж странно и несуразно выглядит переход из графики в обычную съемку)Не настолько скучно,как могло быть,понимаю кому понравилось меньше","01 Apr 2024",3
"Amy","""Why don't you sample this instead?""","01 Apr 2024",3
"tomato99","give me more of keanu reeves in long coat","01 Apr 2024",3
"lotionjones","Gets downgraded a half star for the Zion orgy","01 Apr 2024",1
"thugpizza","Good Golly there's Keanu Reeves butt in this movie","25 Mar 2024",3
"ShtelandVorace","Cool, but the first chapter is better.","01 Apr 2024",NA
NA,"Is this the one where Trinity walks in on Neo jackin’ it to hentai?",NA,NA
NA,"Ok.",NA,NA
NA,"Trop d'actionnnn les scènes sont interminables Y'a quand meme des moments où on a pas l'impression d'etre dans un blockbuster faussement compliqué et ces moments sont cools et continuent un peu la réflexion du premier",NA,NA
"svenjxy","*Netflix*""Matrix Reloaded""","01 Apr 2024",3
"Theo","Besser, als der erste Teil. Coole Kampfszenen und der gezielte Einsatz von Slow-motion Sequenzen machen die Szenen dynamischer und unterstreichen den Austragungsort in der Matrix.","31 Mar 2024",5
"whatdog","“Choice is an illusion created between those with power and those without.”","01 Apr 2024",4
"julyveenstra","If The Animatrix anthology was the best to explore the world and ideas of an already masterful film, The Matrix Reloaded is the greatest possible direct continuation of Lana and Lilly Wachowski’s film The Matrix.","01 Apr 2024",3
"estebvnl","Huge swings and an even grander scope comes with this continuation of a grand tech opera, there’s an orgasm cake, martial arts fights blended with CGI on par with the first film(Burly brawl…","01 Apr 2024",5
"Jackson","This review may contain spoilers. I can handle the truth.","31 Mar 2024",4
"Michelle Harrison","Everyone will say, ""It's not nearly as good as the first movie"", which is mostly true, it has no choice but continue with the prophecy threads which were the weakest parts of the Matrix 1, it can't quite live up to the spectacle of the BIG REVEAL of the Matrix 1, it's weaker on the baby's-first-philosophy scenes, but it's still just SO GOOD.","01 Apr 2024",4
"molesome","Cinematography, fight choreography, acting, it all whips. It's also spectacularly horny, the techno dance at the earth's core, the ultra aphrodesiac dessert, the scorned yearning program wife, Neo reaching inside Trinity to restart her heart, I love it all","01 Apr 2024",4
"usereki","Sci-fi is too much for me, but Neo and Trinity are cute","01 Apr 2024",4
"Philippa Vlachopoulou","comme le 1 sérieux c'est trop","30 Mar 2024",3
"eesiava","An admittedly boring first 40 minutes of endless exposition and a further 20 minutes of cool ass action intercut with more boring exposition are a small price to pay for a 70 minute third act that blows every other action set piece out of the water. The choreography’s reliance on early 2000s CGI will seem dated to some but don’t even really matter to me because I was just continually in delight at whatever cool shit the Wachowski sisters decided to show me.","31 Mar 2024",2
"Leeviya","This review may contain spoilers. I can handle the truth.","01 Apr 2024",NA
NA,"Yo le juro que si se moría Trinity lloraba",NA,NA
NA,"So many people fixated on orgasm cake. I'm sorry if you've never had orgasm cake, perhaps visit a Parisian patisserie?",NA,NA
NA,"Goood",NA,NA
NA,"Anyone wanna go to a rave party in Zion?",NA,NA
NA,"mmm mmmm mmmmmm",NA,NA
NA,"Sequel gone wrong.Also, wth was that animated fight sequence??",NA,NA
"R D","As a follow up to the zeitgeist that the initial one created, it doesn't quite approach the close highs of the first.","01 Apr 2024",3
"tay","As a film for watching rubber Keanu Reeves pound and penetrate men while acting like a goth Superman, it fucking soars.","01 Apr 2024",4
"RoseTano66","10/10 for the cheese, but I'm already forgetting about this one, whereas it's impossible to forget the first's story.","01 Apr 2024",5
"eleanor grace","we love our trinity, dont we folks","01 Apr 2024",4
"Tyler Carcara","The architects speech is so much easier to follow than I remember, dude pretty clearly spells it out","31 Mar 2024",5
"April","I love you. now THIS is dialectics. I love you! literally the best movie ever made and I've always said this and I'll always be right. I love you!!!","31 Mar 2024",1
"sabina a","This is not as bad as I remember it being. In fact this movie looks better than 99% of blockbusters I’ve seen in the last 10 years not named Mad Max: Fury Road.","06 May 2020",4
"Nick","The 30 minute stretch of non stop action might be where movies peaked!!","01 Apr 2024",3
"BeefStu","mid ash","29 Mar 2024",3
"gabii !","“How could you not say cunt? Like that’s cunt!”","01 Apr 2024",4
"dyldonahue","So I just watched this for the first time ever.Honestly I’ve got a headache after watching this.","31 Mar 2024",3
"leito01","This plot is so disorienting and contradictory and I’m so disappointed this is what they came up with after the first movie. Gosh…Yes this movie has its moments but they are far and few in between.","26 Jan 2024",NA
NA,"I watch this with subtitles (like usual) but even this was difficult to follow. I can’t imagine watching this when it came out in theaters cause…",NA,NA
NA,"I didn't like it, but I didn't hate it, it's enough for the middle of a franchise.",NA,NA
NA,"This could be higher than 8/10… arguably better than the first, it matched the awesome actual sequences with a deeper dialogue over the illusion of choice that was fun to watch",NA,NA
NA,"no está mal pero tampoco me volo la cabeza como la 1",NA,NA
"bl00dybatat0na","logra el equilibrio entre la acción, el romance y los subtonos filosóficos de la existencia y del ser","01 Apr 2024",5
"mickey","Neo and Trinity have incredible chemistry","31 Mar 2024",2
"Gettin_Rizzy","Not a perfect movie but still pretty enjoyable, C","27 Dec 2021",3
"DavidDLuong","I can’t tell you many times I’ve watched The Matrix (1999) and had my mind blown. It’s probably around the same time amount of times I’ve tried to finish watching The Matrix: Reloaded (2003) in the last month.","31 Mar 2024",3
"Kiley Snobeck","Which makes me feel stupid because it’s the same world and the same characters, but I get lost with all the new stuff… Architects and Keymakers and Ghosts and Merovingian? Explain it to me and I’ll buy you a popcorn.","31 Mar 2024",3
"akagman","Superman?","31 Mar 2024",3
"carsonemovie","This review may contain spoilers. I can handle the truth.","31 Mar 2024",3
"La Ro","A pesar de el inicio el cual m hizo sentir que me perdí de algo debido al salto en el tiempo que da de la película anterior, conforme va avanzando solo me parece mas impresionante haciéndola una digna secuela de su antesesora, además de las increíbles escenas de acción que me parecen las mejores d toda la trilogía, aunque en su mayoría son cosas que se deberían de dar de otra manera aunque todo da para que haga de todo…","31 Mar 2024",3
"Mark Lotto","Horny levels up 200% from the previous movie","31 Mar 2024",3
"bennn","Terrible cgi thrown in","31 Mar 2024",2
"Owl","Awesome fighting and car chase scene","31 Mar 2024",5
"Eden","Get a man who after kissing Monica Bellucci decides to stay with you. Keanu, the lucky man that you are","01 Apr 2024",3
NA,"In the plus column: Monica Bellucci hungrily demands a kiss, which automatically makes any movie good. Neo holds Trinity’s heart in his hand. The mansion fight invents John Wick. The highway fight invents Fast Five through Fast X. The orgy rave once seemed so square and now it seems impossibly tender.",NA,NA
NA,"In the minus column: Every Smith fight sucks video game ass. Those long coats seem very impractical. And, oh, right, there’s no coherent propulsive emotional through line at all. ‘Cause “Find the…Key Master?” ain’t exactly “What is the Matrix?” or “Is Neo the One?”",NA,NA
NA,"Obviously loved the action sequences (the freeway! so sick!), but they definitely didn’t feel as backed by the narrative as the first. Felt like it was trying to go for big philosophical ideas which weren’t fully working for me. Still a pretty great time even if it’s not as airtight as its predecessor.",NA,NA
NA,"there are like 5 different scenes in this movie where someone just explains the movie’s themes to neo because the action is so insanely sick that nobody would pay any attention to the philosophical shit if they didn’t.",NA,NA
NA,"why do people hate the matrix sequels? are they stupid?",NA,NA
NA,"I didn't like this one as much as the first one. However Neo is so fine it hurts, I kinda get why Agent Smith chases him like crazy",NA,NA
"ximee_p_","no estuvo taaaan buena como la primera, pero igual me gustó","31 Mar 2024",3
"camilly vicente","essa menina ser tão emocionada colocou a vida de uma sociedade em perigo...","31 Mar 2024",4
"Armin Rocha","Mñe","31 Mar 2024",3
"Kuro2427","It's nowhere near as bad as people say it is. In some aspects I'd even argue it's better than the original tbh","31 Mar 2024",4
"StrangerAxolotl","Man what tf were they thinking with that weird ass rich creep? Rest of the movie slams though and is way more fun than the first film.","31 Mar 2024",4
"zoe","good","31 Mar 2024",4
"Flavie","Les courses poursuites sont folles","31 Mar 2024",4
"lillyay","Mehr zu viel lange Action","31 Mar 2024",3
"Kelvin Oliveira","Nessa sequência o filme cresce, expande suas pretensões e escopo, porém a harmonia e o aspecto de ""narrativa revolucionária"" não estão mais presentes.","31 Mar 2024",3
"Guilty Remnant","Inúmeras cenas deste podem serem vistas como referências para outras obras, sendo a ação a força motriz do roteiro. Mas mesmo com as várias cenas eletrizantes, o filme tem pouco a acrescentar a não ser pelo desenvolvimento de Zion e a continuação da jornada de Neo.Dito tudo isso, estive muito dentro desse Universo.","04 Dec 2021",4
"Martin_Jaja","Aún con algún ""pero"" me parece una dignísima secuela con unas escenas de acción espectaculares.","31 Mar 2024",4
"Bohdan Pankrukhin","El cgi canta un poco pero para mí es lo de menos. El lore lo expanden de una manera interesante.","31 Mar 2024",5
NA,"Al final la película es hija de su tiempo, es decir, dosmilera a full.",NA,NA
NA,"en Zion se mandaban altas orgias. No tengo pruebas pero tampoco dudas",NA,NA
NA,"The best action film in history. I mean this style, choreography, music …. I missed that time when every blockbuster was a piece of art.",NA,NA
"BrandonBMore","This movie is so so so so SO horny and I adore that","31 Mar 2024",4
"ponzomatias","1)que mierda significa la fiesta tecno de todos en pelotas cojiendo PREVIO a un ataque enemigo??? porque son todos negros los que despertaron pero en la matrix muestran todos blancos?","31 Mar 2024",3
"Connor","2)oppenheimer se insipiro en esto evidentemente para hacer esa escena de mierda cojiendo, que fetiche tienen los yanquis de hollywood con las orgias la puta madre","31 Mar 2024",4
"likhith","3)este gordo tiene sueños premonitorios afuera de la matrix ??????? si se supone qje los poderes que tiene son x la matrix","31 Mar 2024",3
"bruna","4)porque EL CONSEJO SUPREMO DE LA HUMANIDAD SON TODOS HIPPIES","31 Mar 2024",4
"Mike","April yelling at everyone on Easter because I called Neo computer jesus","31 Mar 2024",2
"Quinnonketamine","This is the part where the Hero journey is not considered and it turns out to be just a usual Sci-fi..The fight choreography and the VFX was good and trend setter - I understand that!.both matrix movies had weak writing in the first half which gets saved in the second half due to engaging action sets!I SAID WHAT I SAID!","31 Mar 2024",3
"mmeeoowwaa","depois de assistir esse me vejo na obrigação de ir em um techno","31 Mar 2024",5
"mxch3","I'm not sure this sequel needed to be a thing. I respect that the narrative world is large enough to sustain it but the original was just so good...","31 Mar 2024",2
"Neil Bahadur","It may not be as good as the first one but it’s still friggin COOL","31 Mar 2024",5
"manosko","reminds me of مشرق","31 Mar 2024",2
"Wake","the worst of the three","31 Mar 2024",3
NA,"This is basically Christopher Nolan's Tenet, advanced class - despite coming out almost 20 years before (not that I don't love that movie too). Beautifully and intricately conceived on every level, remarkable to see all the films discourse on causality extend itself all the way to the design of the set-pieces themselves, as well as the structure of the film as a whole. Easy favorite of the Matrix films, by quite a margin.",NA,NA
NA,"remember the car chase scene, that was awesome",NA,NA
NA,"More ambitious action scenes than the first but they didn’t hit half the same",NA,NA
"Lindsey","#💊 #cyborgs","31 Mar 2024",4
"Hamed Alamri","What if I say this movie slaps🗿 dam it's good.","31 Mar 2024",3
"gold_ghost","طول حياتي كنت اتجنب الاجزاء المكملة ل الجزء الاول بسبب انه كنت دايم اسمع انه افلام سيئة لكن انا منصدم هل هذولا ناس شافو نفس الفلم الي انا شفته.","",4
"valennsopa","Not as good as the first, but better than the other sequels. I just want to know where I can get a cake like that","31 Mar 2024",4
"Rafael Rita","AMIGO COMO VA A TERMINAR ASI LA PELICULA DALE bastante buena pero al principio medio lio y aburrido asi q es mejor la primera","30 Mar 2024",4
"lenulous","Not so good like the first, but still got one of the best action of the century","30 Mar 2024",2
"sofiacoppola_","Love the symbolism in this film and the keymaker","30 Mar 2024",2
"Lars_Honeytoast","Love it when the sequel is just as good as the first movie","30 Mar 2024",5
"restarted","Apologies to those who love it, this movie is dumb","30 Mar 2024",4
"zachhayes","Not sick","30 Mar 2024",3
"SamLevyJ","the matrix is the best movie series because it’s like what if jesus knew kung fu and wore a trenchcoat and had sex and was in love and hugo weaving was the devil?","05 Mar 2024",NA
"AlexthegreatWWE","Alweer tijdje terug dat ik deze film opnieuw keek. Ik werd verrast door hoe goed ik hem vond, dat stond me niet zo bij. Naast het terugzien van een van mijn favoriete filmscenes ooit werd ik positief verrast door de filosofische vragen die in deze film nog sterker aanwezig leken te zijn dan in de klassieke eerste film.","28 Mar 2024",NA
NA,"This is my second time watching this film and I still have no idea what's going on most of the time, but I see kung fu fighting so keep watching.",NA,NA
NA,"To me this is the second worst in of the franchise, but it still has it pros and I began to appreciate it, where on my first watch I didn't care for it much. The cast runs the show with Neo and Smith being my favorites and eat up every…",NA,NA
"lenalovegood","Trinity my wife","30 Mar 2024",3
"Mateo","Holy Moly This movie has a large amount of sauce they got Laurence Fishburne doing some Bruce Lee shit and Keanu Reeves being Superman, but I also say this is  a perfect sequel to me because it stays with the tone of the first one and is aesthetically pleasing, which is all I want in a movie sometimes.","30 Mar 2024",5
"Trevor Motes","This movie is gas it just feels like a continuation of the first one idk why people don’t like it as much","30 Mar 2024",4
"miranda","he’s doing his superman thing","29 Mar 2024",5
"luciagamez","me gustó más la primera, esta es muy sin más pero está muy bien","30 Mar 2024",4
"Bonnie Fontana","loved to see the sim version of keanu reeves in this","28 Mar 2024",3
"serena","okayyy zion is diverse af","30 Mar 2024",4
"DarlingNewHat","A dazzling studio cash grab with a modicum of riveting storytelling amidst the tiresome and redundant battle scenes. The sequels were a lost cause the day the original dropped; it was the toughest of acts to follow, and its Big Reveal could never be equalled.","28 Dec 2003",3
"Beameranged","Plot had potential, but there was not enough of it. Much time is given to largely redundant and bizarrely bloodless fight scenes — with beautiful backdrops and impressive effects — that are far too long and repetitive. This could also be said of the entire experience. Another reload holds little appeal, but is mandatory due to avaricious structure.","30 Mar 2024",2
"Navaaa","better than 1","29 Mar 2024",3
"therealstormlx","Imagina aparecerem 200 Smiths na street a quererem agredir te","30 Mar 2024",4
"S. J. S Sprague","I’ve said it before the unevenness of this sequel is caused by the filmmakers doing too much at once too much lore and mythology, too much action and way too much fancy costumes. Because of this at times it almost feels like a parody of the first film.","30 Mar 2024",3
NA,"There actually a moment in matrix reloaded when I half expected Niobe (played by Jada Pickett Smith) current partner Lock (played by Harry Lennix) to yell at Morpheus her ex partner (Lawrence Fishbourne) “keep my wife’s name out ya fuckin mouth”",NA,NA
"ozynsane","Ah yes the movie where actor keanu reeves is spinning like a ceiling fan for 2h and 18 minutes","16 Jun 2023",5
"raymondzeidan","Hey, count sheep at homeWhy, get paid to count em here","30 Mar 2024",4
"nicky_boy7","This review may contain spoilers. I can handle the truth.","29 Mar 2024",3
"Victor Moreno","a little too horny but some really good martial arts and car scenes. To be continued ending which was lame","29 Mar 2024",2
"Mr Crick3t","Good example of too much money overriding good story, so many effects shots, so little plot to string then together","30 Mar 2024",3
"rivskr","Better than I remember","30 Mar 2024",5
"Robert Grawey","Neo Superman","26 Mar 2024",4
"Anna","I used my recent theatrical rewatch of The Matrix as an excuse to finally start digging into the sequel films. And while this one has its issues, the mastery of compelling action filmmaking that Lilly and Lana display still remains. I admire the thematic questions this film poses in the wake of its predecessor. It makes this first part of the continuation feel cohesive and almost necessary; even if some of its intrinsic sequel elements can make it feel wonky…","29 Mar 2024",4
"apod17","I like this movie.","29 Mar 2024",3
"thehermit69","What does the key guy do? I wasn’t paying attention","29 Mar 2024",4
"Lars_Honeytoast","OH GOD ITS ALL A LOOP","29 Mar 2024",3
"Ned","Should just be called ""Berlin: The Movie""","29 Mar 2024",NA
NA,"Morpheus has a katana standoff with an SUV and people think this isn’t good?? The balance of ideas isn’t nearly as fine tuned as the first, but damn if this isn’t still entertaining.",NA,NA
"vikenti","Pas du tout aimé... je me suis forcé à finir.","30 Mar 2024",2
"rorolesancho","Morpheus and stilgar would definitely be friends","29 Mar 2024",3
"Whit","This review may contain spoilers. I can handle the truth.","29 Mar 2024",3
"alejandragadeag","not sure why the 3 minute sex scene was necessary to the plot but alr","29 Mar 2024",4
"Licia Ines Coda","neo after choosing the gf, with whom he had 0 chemistry with, over the human race: yeah guys, zion is going down in like 24 hours 🧍🏽","27 Mar 2024",3
"Niamh Parker","giuseppe architetto not a big fan","29 Mar 2024",3
"carol","People who don’t like this film need to grow up.","29 Mar 2024",3
"WillHughes1","2h18min de filme pra ser 2h de luta e 18min de sexo","29 Mar 2024",4
"iluvwebs","“hm, upgrades” 😑","29 Mar 2024",4
"Ana","Fell off from the first one but still I love the matrix. Maybe we’re in the matrix","08 Apr 2016",3
"neektheleek","peak action scenes.","29 Mar 2024",5
"🦇 october 🦇","(PTBR🇧🇷 EN🇺🇲)","28 Mar 2024",NA
NA,""" - O que ele quer?""",NA,NA
NA,""" - O que querem todos os homens com poder? Mais poder.""",NA,NA
NA,"É perceptível a queda com relação ao primeiro filme... e aquela cena da dança com o sexo dura tempo demais e não entendi como isso tem relação com matrix (obs: em 2024 em reassistindo essa cena, levei em conta que é a primeira cena que temos na franquia em que representa a condição humana, os atos e sentimentos que com…",NA,NA
NA,"when the evil white ghost men with dreads showed up I peed a little from laughing",NA,NA
NA,"WAYYYY better on a second rewatch, probably my personal favorite of the franchise",NA,NA
"daniel","completely mindblowing on a technical and visual level and that is the reason why i'm giving this a 4. plot/narrative-wise it's on the same level as the first film (probably the least best aspects of the films). i'd actually say i might prefer this one over the first matrix - i feel like everything that made the first one great and special is here, and also much more","29 Mar 2024",4
"Elise Lambert","i still need to watch the 3rd matrix but this may be the only wachowskis film that is kind of close to the genius of speed racer","29 Mar 2024",3
"Lorimer25","Didn't love this as much as the first one. Reminded me to rewatch Sense8","29 Mar 2024",5
"Finn","Masterpiece. Coolest movie ever made","28 Mar 2024",3
"Ouroboros2460","Confusing, convoluted, and at times downright bizarre... but still kind of epic. Nothing is ever going to beat that highway sequence. They just don't make it like that anymore.","29 Mar 2024",4
"Garlic Orange","Stylish af! All of the action scenes here are so crazy and extra. I also love the expanded lore even if it is very cheesy. And a great soundtrack on top of all that??","29 Mar 2024",3
"arthurvisao","I always thought the Matrix sequels were hated by everyone but damn, this rips! I was soooo close to giving it an 8/10 but it was just shy because of that ending. It’s a part 1 film which I never like when they end it without a satisfying conclusion. Like guys, you can make an amazing conclusion to a film which is meant to have a film after it! Think Across the Spider-verse or The Two Towers, films with insanely…","29 Mar 2024",3
"mosescc","filme divertido, mas o primeiro é muito muito muito muito bom 🟩3️⃣🟢🟢0️⃣2️⃣0️⃣🟩3️⃣🟢6️⃣🟢🟢🟩🟩🟢🟢🟢🟩🟩1️⃣🟩1️⃣🟢🟢🟩5️⃣1️⃣🟩🟩🟩3️⃣2️⃣0️⃣0️⃣🟩🟩2️⃣🟢🟢🟢🟢🟢1️⃣🟩5️⃣🟢🟢🟢5️⃣5️⃣1️⃣1️⃣🟩🟩🟢🟢🟢🟢","28 Mar 2024",5
"DanissaMB","some of the best fight choreography and action set pieces in hollywood filmmaking. it’s hokeyness is a feature, not a bug. even without nostalgia tinted glasses i still find it such an enthralling watch.","28 Mar 2024",4
"SalsaShane","This review may contain spoilers. I can handle the truth.","28 Mar 2024",4
"Verinka","NOOOOOOO EL CERRAJEROOOOOO POR QUE NEO TIENE “PODERES” afuera de la matrix QU-","28 Mar 2024",5
"Aidan James","I rewatched this franchise a few months ago; but after watching the recently rereleased version of The Matrix in the theaters, I knew I had to watch the sequels again.","28 Mar 2024",NA
NA,"This movie is still amazing despite its flaws. The freeway scene is one of the best action scenes ever put to screen in my opinion.",NA,NA
NA,"If you don’t like this movie, I totally get it. It asks the viewer to do some heavy lifting, but I’m personally ok with that because I’m so invested in this unique world the Wachowski’s have crafted.",NA,NA
NA,"This review may contain spoilers. I can handle the truth.",NA,NA
NA,"JAJAJAJA QUÉ HACE MONICA BELLUCCI ACÁ? te amo completamente morocha",NA,NA
NA,"“I’m not letting go. I can’t. I love you too damn much.”",NA,NA
NA,"And people were surprised that Resurrections was a love story.",NA,NA
"Keegan Handley","But how does one forget that the Freeway Chase exists? I will never make that mistake again.","28 Mar 2024",4
"alfonsozo","I love what this series becomes. For all of the Architect's flowery convoluted language, it ends up being Neo, spokesman of humanity, choosing to love and to save the one he loves, because it's hard and stupid and essential and beautiful and it's what we do.","28 Mar 2024",4
"Rowan Oak","I am reminded of The World's End. ""To err is human so...er...?"" Wonderful.","28 Mar 2024",4
"Francis","desde aquí se notaba que las Wachowski estaban súper hornys","28 Mar 2024",4
"mia","less iconic than the first one for sure, but that entire highway sequence might be the best 20 minutes of any movie ever","28 Mar 2024",2
"jorp","Don’t need to or want to articulate all the usually criticism, it’s pretty well worn, and the movie still rocks until the end of the freeway chase. A complete vision, for better and worse.","28 Mar 2024",2
"sniperman720","Really tho, whatever fuckin dickwad did the color on the recent 4k masters is a psychopath and a prick. Saturation, contrast, exposure, tint all change shot to shot. Near the end of the chateau fight the image gets super fuckin dark - are you an asshole?…","29 Mar 2024",3
"annie","NEO IS MY SUPERMAN","28 Mar 2024",3
"Billy Beyrer","I feel like by this point, the Wachowski Sisters wanted to make this world-building epic where the movies just happened to be part of this universe (which I mean, props to them for seeing where franchises would end up going), but it doesn’t work for me here.","28 Mar 2024",3
"GuilhermeMacedo","This film ends up coming across as mostly exposition for questions and scenarios that I’m much more interested in seeing fleshed out.","28 Mar 2024",2
"mhofmeyer","For example, when Neo meets the Architect, we’re greeted with one…","28 Mar 2024",NA
"Håkan","The Watchowski's Heaven's Gate.","28 Mar 2024",NA
NA,"Overlong scenes, overbearing exposition, and unnecessary philosophical ruminations. Lots of weird quirkiness going on that would normally face the chopping block under strict studio scrutiny. The quality of the writing takes a nosedive, as well as the worldbuilding at large, with too many plot holes to count.",NA,NA
NA,"The symbolim that the Watchoski's present us with is about messianism and prophecy. Something that Dune 2 recycled for us this year without any particualrly new revelations, pardon the…",NA,NA
NA,"keanu reeves again",NA,NA
NA,"This review may contain spoilers. I can handle the truth.",NA,NA
