"name_data","comment_data","date_data","rating_data","rating"
"AlienBlues1","AAAAAH c'est dommage on est passé à rien du tout du 4.5... Pour résumer un peu mon avis sur la trilogie : j'ai un très bon souvenir du premier (""souvenir"" parce que je ne l'ai vu qu'une fois il y a 2 ans voire plus), j'aime un peu moins le 2 malgré le fait qu'il ait les meilleurs combats de toute la saga, j'ai trouvé le 3 assez moyen même s'il est sauvé par son climax qui envoie du…","01 Apr 2024","★★",2
"mh1983","Had fun trying to spot all the actors from Sense8. Apart from that, kinda underwhelming.","01 Apr 2024","★★½",2
"Jo Rempel","Just sublimely directed. Felt very nice to be in this world again. Love how much Lana underlines human touch as what’s necessary to keep us free and fighting.","31 Mar 2024","★★★★",4
"tay","Dotter joined in watching the movie around the Simulatte scene in the final act and then watched till the end.","01 Apr 2024","★★½",2
"thugpizza","The Matrix finally out of the closet and deep into middle age: flamboyant, sentimental, repetitive, talky, less self-serious, more chaotic, less refined but more free.","27 Mar 2024","★★½",2
"Maximillions","it just feels like watching a movie written by a fan who couldn't let go of the franchise","01 Apr 2024",NA,NA
NA,"Eh? I'm glad I saw it in the end and was dragging heels on it for awhile. The much-maligned 4th instalment of The Matrix is a bit of a chore to get through, though it has some glimmers of brilliance and sheer enjoyment.",NA,NA,NA
NA,"It's another tale of two movies: the first half (the AWESOME half) and the second half (the cash-grabby half).",NA,NA,NA
NA,"First half was a treat and I bet Matrix dudebros will hate it, a prospect which made me…",NA,NA,NA
NA,"Revolutions is still my fave Matrix but the existence of Resurrections somehow improved the experience—the bitter edge, knowledge that no matter how many rainbows Sati paints across the Matrix, the war is not, in fact, over. Maybe it grows quiet; maybe the setting changes—the notion of “here”, “we”, “now”; maybe you begin to question the contours of wartime and life during it. What pragmatism might mean, or risk. It’s all context—the closest feeling to all four matrices is that of…",NA,NA,NA
NA,"smith is free <3",NA,NA,NA
NA,"Not good.",NA,NA,NA
NA,"I really, really wanted to like this and I just… did not.",NA,NA,NA
NA,"It actually somehow manages to have much the same vibe as Alien: Resurrection but with extra queer. But I think my issue is that I was expecting more from it, unlike when I watched Alien: Resurrection. Mind you, that had a god awful film that I like to pretend didn’t exist so that probably made the fourth Alien instalment more palatable.",NA,NA,NA
"Jase Curtis","Somehow duller than Revolutions, without even a single great action scene that stays in the memory.","","★★",2
"sajasajasaja","Not as bad as everyone said but it wasn’t anywhere close to being as good as the original trilogy","01 Apr 2024","★",1
"Martin_Jaja","+ ¿Es una buena o mala pelicula de matrix?- Es entretenida y basta","01 Apr 2024","★★",2
"El Pendejo Teo","Siendo sincero la vara estaba muy baja para mi después de ver la tercera parte, por eso agradezco que para esta nueva entrega hayan vuelto las coreografías y artes marciales por encima del cgi.Sin embargo, se siente como otra película sci-fi del montón a este punto, no se si valía la pena hacer otra película más.Agradezco el uso del cast completo a diferencia de…","31 Mar 2024","★★★★★",5
"BreadVan","Love will save us","01 Apr 2024","★★",2
"Pankaj Vishnoi","I’m really sad.","01 Apr 2024","★★★",3
"PistInHerHolan","The matrix is a very important film to me, as it is for a lot of other people. This definitely wasn’t the matrix. As much as this hurts to say, I’m extremely luke-warm on this :( This really just feels like a parody of itself. Im someone who thinks meta the better, but this was too much and besides the occasional cool moments (I cant think of any off hand even though there is a few) and…","","★★",2
"mezcal","Why?For money?","01 Apr 2024","★★★★",4
"Parker Coulombe","It’s mostly not good, but I actually really liked the meta elements. It feels like there’s a bit of bitterness there on Lana Wachowki’s part. A cynicism towards the entertainment industry’s fixation on reviving old properties and praying on people’s nostalgia. I would watch a whole Matrix movie that’s just about that with no action.","31 Mar 2024","★★",2
"gabii !","We're gonna make a movie and troll everyone","01 Apr 2024","★★★★★",5
"Evelyn Dee","Literally couldn't have picked a better movie to watch today. It's the 25th Anniversary of the Matrix, plus Easter, plus Trans Visibility Day. Anyways, I really loved this movie, it's a different take on The Matrix but I feel it had a good direction and vision for it that modernized it well and sorta turned it into a nice sci-fi romance. I think the only thing I would change would be to make the action a bit more interesting, but besides that it's far more interesting than the previous Matrix sequels, and the less cynical feel made me all warm and fuzzy inside at times.","01 Apr 2024","★",1
"OddFunk","Well, what can I say about that? It's not a bad film but they revived something that didn't need to be revived, it had ended well and now it ended worse, they ruined what was good and turned it into an average film. If I were to describe this film in one word it would be UNNECESSARY","31 Mar 2024",NA,NA
NA,"Happy transgender. My titties are so fat and heavy now.",NA,NA,NA
NA,"Tried again thinking maybe the first time i missed something. Hated it even more this time. Straight up embarrassment of a picture",NA,NA,NA
"fbarbolla","Un insulto a aquellas películas que supieron estrenar en su momento. No deberían haberla hecho. La trama es malísima, los planos son malísimos y las escenas de acción son pésimas. La peor película que vi en mucho tiempo.","01 Apr 2024","★",1
"Gettin_Rizzy","It’s not bad but not my favorite, D+","28 Dec 2021","★★",2
"Benjamin Roggie","Just gets better and better.","31 Mar 2024","★★★★★",5
"Yannick Lewkowicz","Amo esta película, amo que Lana la haya hecho así y amo que la inmensa cantidad de pseudo humanos la deteste.","31 Mar 2024","★★★★½",4
"skkkrtt","One of those sequels of all sequels","31 Mar 2024","★★★★★",5
"Matt Brown","I was drumming up a list of my favourite films of all time earlier this week, and I realized, this is definitely on it.","31 Mar 2024","★★★★",4
"GUMPYMANE","What cheers me about this movie is the sheer number of younger people / next generation characters that Lana wrote into it who are all like, ""yeah, obviously, we're doing this."" Fuck, even Smith isn't the villain this time; the villain is just the samey breeder weirdo who wants to exploit the sameness of everything that's come before, a dude who'd rather get his jaw kicked clean off than change. Fuck that guy. Happy TDOV my beautiful bitches","31 Mar 2024","★★½",2
"olivia 🏳️‍⚧️","I’ll watch and enjoy anything that has to do with the Matrix. That being said this felt like a soulless sequel-boot that they even portray in the movie itself as being played out and repetitive. Also, I was really hoping they wouldn’t go full meta with it, but they went full on, balls to the wall meta with it. I guess I didn’t hate it though.","31 Mar 2024","★★★½",3
"Toby","One of those movies that I could see anyone give any rating to and think ""Yeah, that makes complete sense""","23 Mar 2024","★★★★",4
"LucaMuzi","I haven't seen this in theatres and after seeing it right after the previous I still maintain that this was completely necessary. I am glad that this was made after some time and only after the right idea came to Lana. Revolutions leaves some big questions for me, in particular a very unsatisfying ending for Neo and Trinity. This wraps up their arc in the best way that fits very well with the series.","31 Mar 2024","★★★★",4
"💠💀⚔️💀💠","Eu gosto verdadeiramente da forma como a história foi escrita aqui.","29 Mar 2024","★★★★★",5
"Parker Liberatore","Metalinguagem pura.","31 Mar 2024","★★★★½",4
NA,"'my mind made it all up,' is that what im supposed to say?",NA,NA,NA
NA,"The greatest love story ever made dude I cry more watching this than when I watched the notebook. I love this movies so much because it is not a distillation of everything that made the matrix popular, it is a distillation of everything that made it eternal.",NA,NA,NA
"Kaley06","POR FIN están juntos y son felices los amo","01 Apr 2024","★★★★★",5
"Sam Ikin","Neo y Trinity 💖💖💖 Lo arriesgarían todo por el otro","31 Mar 2024","★½",1
"Diego Miragro","Never watched any matrix films but watched this in the cinema and it was just a bit full of itself. Bozo storyline and a moneygrab","31 Mar 2024","★★★★★",5
"Forevergold","Un milagro, sinceramente.","31 Mar 2024","★★",2
"axelle","❤️","31 Mar 2024","★★★½",3
"adut16","That’s 2 and half hours I’m not getting back","31 Mar 2024","★★★",3
"soph","Objectivement : nul Subjectivement : 2h30 de bonheur, 80% du casting de Sense8 mélangé au casting de Matrix, le mot binary utilisé toutes les 10min, les tenues de mes rêves (though les précédentes ne seront jamais égalées), et un film de science-fiction qui est en fait une romcom","31 Mar 2024","★★½",2
"Miguel De","After watching the original trilogy during COVID, I forgot this one came out and that I hadn’t watched it yet.","31 Mar 2024","★★★★",4
"RubyRedT","Was it needed? No.Was it good and did I have fun? Yes.And thats all that matters.","31 Mar 2024","★★★½",3
"Guilty Remnant","The action scenes were as good as ever and it continued to capture that ‘meta’ feeling of the first three films that makes you question reality and what is real","22 Dec 2021","★★½",2
"HaiDesign","i need to rewatch the old matrix films love jonathan groff tho🤭","31 Mar 2024","★★★★½",4
"Logan Thomson","Começa tão bem e depois é só mais uma sequela do matrix.","31 Mar 2024",NA,NA
NA,"Happy Easter Neo Jesus",NA,NA,NA
NA,"La primera parte es tan ""meta"" que es imposible no pasárselo en grande con la fiereza con la que Lana Wachowski carga contra toda la industria.",NA,NA,NA
NA,"La segunda parte se hace algo monótona pero la química entre Neo y Trinity lo supera todo.Muy a favor.",NA,NA,NA
NA,"Appreciate it was trying to do something interest with its meta plot but didn’t hit for me. I’d rather have watched the original or even Revolutions",NA,NA,NA
NA,"Ages like fine wine. The rare big budget franchise flick that is utterly zany and bizarre, refreshingly energetic and trusting of its audience to go along with everything that is happening, and completely sincere and emotionally open about what it is.",NA,NA,NA
"ellie","He is Risen. and by He. haha well. lets justr say. neo","31 Mar 2024","★★★★★",5
"mojo bazzi dojo","(i genuinely didnt realize that today was the 25th anniversary of the matrix until after, it's so cool that i accidentally rewatched this on the 25th anniversary, AND easter, AND trans day of visibility lmfao. anyway. this is also a warning that im using a LOT of quotes from the movie in this review because it has some of my favorite dialogue in any film ever and i…","31 Mar 2024","★★★½",3
"brooke","life isn’t real","31 Mar 2024","★★",2
"anna","happy birthday to the matrix!!! we both turn 25 this year 🫶🏻","31 Mar 2024","★★",2
"anna","celebrating by watching the worst movie of the franchise instead of the original because i’m different","31 Mar 2024","★",1
"RodriguesDre","kinda appreciate the cutting back and forth between scenes from resurrections and footage from the previous movies like you know what, you’re right, i should just go rewatch the original.","29 Mar 2024","★★★½",3
"YeetyEleety","fun sense8 cast reunion though, i guess.","31 Mar 2024","★★★",3
"RiceTrader","Genuinely hate this movie- so incredibly inane and boring. They really should’ve just left the original movies alone.","31 Mar 2024","★★",2
"jackwillspopely","A dupla lendária juntos novamente","31 Mar 2024","★★★",3
"Navaaa","I think if it didn't have Keanu or Carrie-Anne Moss it would be bang on mid.","31 Mar 2024","★★★★",4
"Dante Scarpettini","But it does so it isn't","30 Mar 2024","★★",2
"Artyom Lipin","Big fan of Keanu, but his delivery of lines in this movie is like listening to AI, zero emotion and complete lack of care. Its like watching one of those new Bruce Willis movies. They put 110% brain power into creating the plot flow as if he didnt die in the previous matrix but it just doesnt work. Fight scenes were also lacking. Saw it was directed by only one of the trans brothers, what happened to the other one?","31 Mar 2024","★★★★",4
NA,"Hiding memories in trivial things like video games, books and movies so you don’t believe they are true. Smart computer.",NA,NA,NA
NA,"better than the trilogy",NA,NA,NA
NA,"Lo mejor de esta película es que no hay una siguiente para que sea aún peor. Todo tuvo que haber terminado con la primera.",NA,NA,NA
NA,"Even better second time. Perfect meta-commentary on how art and sincerety are viewed.",NA,NA,NA
"NoahOdim","Could smell it a mile away.","31 Mar 2024","½",0
"Holland_1945","Each time you watch a new Sense8 actor appears","30 Mar 2024","★★★",3
"brunomtzhldg","Aún sigue siendo de las películas más infravaloradas existentes, increíble.","30 Mar 2024","★★★★★",5
"Lindsey","#cyborgfutures","31 Mar 2024","★★",2
"Heather","Jonathan Groff and Neil Patrick Harris are the villains, while Candyman is Morpheus. Take a moment to let that sink in.","30 Mar 2024","★★★½",3
"Kendall Beachey","I really wish that I liked this more than I do. I think the first 2/3 are great but the last act fails to deliver the sort of complexity that I was hoping for. The focus on the relationship between Trinity and Neo is a great direction but there seems to be missing something in the execution.","19 Mar 2024","★½",1
"João Victor","Eu dormi no meio do filme.","31 Mar 2024","★★★★★",5
"pnkcinder","its a good day to be bi","30 Mar 2024","★★★★",4
"Ned","So good. Absolutely the most interesting route this could have taken.","30 Mar 2024","★★★½",3
"Charlie",".","31 Mar 2024","★★★½",3
"gold_ghost","This was way better than I expected. They story was OK, never disappointed with the actions scenes. I've added a half ☆ for Neil Patrick Harris because he's a legend","13 Sep 2023","★★½",2
"paolocla","Non è bello come il primo, ma nessun altro lo è stato. Alcune cose meh, altre carine.","31 Mar 2024",NA,NA
"Niamh Parker","Not enough rain. It’s too glossy. Did it feel like a matrix movie…no. Did I enjoy it…yes.","30 Mar 2024","★★★½",3
"g","your goat is mid","30 Mar 2024","★★★★",4
"oxa736","They could have done this better","30 Mar 2024","★★★",3
"Pat289","Happy Easter, everyone. Made me finally want to check out Resurrections.","30 Mar 2024","★★★½",3
"Kyra","Even though the quality bar is low both for Matrix sequels and franchise reboots, I have to say that this fourth movie really is both surprisingly good and bad - and definitely not easy to put in a box. Let's try to break it down as well as possible:","30 Mar 2024","★★½",2
"MTS27","WHAT I DIDN'T LIKE:- What it doesn't do better than the previous two movies is the sheer look and…","30 Mar 2024","★★★½",3
"homecinemaitaly","I get what they were going for but this just fell flat for me","30 Mar 2024","★★★½",3
"Gustavo Campello","That and it being waaaay too long","25 Dec 2021","★★★★",4
"shaynasaint","5 stars for the theme of psychology being used to control a population","28 Mar 2024","★★",2
"andamaxey","1 star for somehow making Jada Pinkett Smith equally annoying in real life","30 Mar 2024","★★",2
"bina","3 stars for not supplying me with the cool action i wanted","30 Mar 2024","★½",1
"NickHgstl","5 stars for trinity still being sexy 20 years later (im not a milkman)","29 Mar 2024","★★★",3
NA,"these new niggas lame btw",NA,NA,NA
NA,"“Come prendere per il culo…. Tutta la nuova hollywood”",NA,NA,NA
NA,"I went to watch it with no excitement at all, hadn't seen the trailer, nor any news. I saw people talking badly about it and decided to take a chance today...",NA,NA,NA
NA,"The movie has a lot of things that don't work, it's true. That Agent Smith is terrible, Keanu Reeves acts very poorly, there are poorly conducted scenes... and blah blah blah as a lot of people have already said...",NA,NA,NA
NA,"But besides that, the movie is fascinating, the meta-language and…",NA,NA,NA
NA,"the only part if this movie i truly enjoyed was when neo tried to superman fly and only gave a little jump, causing trinity to immediately get the ick.",NA,NA,NA
NA,"Meh",NA,NA,NA
NA,"💀",NA,NA,NA
NA,"I applaud what Lana tried to do but I don't entirely like it.",NA,NA,NA
"con man","This movie is awesome! So much better when you watch them all in sequence. A Laurence Fishburne and Hugo Weaving cameo would have been nice! I loved the meta aspect in the beginning. This whole franchise really works. I think I enjoy the pseudo philosophical and sci-fi aspects more than the fight sequences.","30 Mar 2024","★★★★",4
"Michael","The matrix goes scream, often turning into a meta satire of itself. I really appreciate how this movie never takes the obvious approach, and resists any temptation to play it safe and fill itself with references and callbacks. It takes balls to bring back the characters of agent smith and Morpheus, have Hugo weaving and Lawrence Fishburne ready and willing to come back, but choose to recast anyways because that’s what served the story. I enjoyed how it brought the…","30 Mar 2024","★★★½",3
"DarlingNewHat","After repeated attempts I have yet to force myself to sit through this whole film. The only thing the studio got right was the title since this turd may have been cast in a graveyard. Never mind the predictable plot, the tiresome ""action"" and the ""Oil, meet Water"" attempt to render the pre-9/11 zeitgeist on the canvas of post-pandemic Clown World. This film failed because the leads are too damned old to reprise the edgy, sexy auras that made them…","23 Jun 2022","★½",1
"paulino","pô eu gostei muito da nova persona do morpheus e da inserção do analista, cujo se mostrou ser um antagonista tão bem elaborado quanto o arquiteto. mas foi só isso só :(","30 Mar 2024","★★½",2
"luwis","fourth wall was wrecked during the first scenes","30 Mar 2024","★★★",3
"Craig Sutherland","Bad, so very bad.","30 Mar 2024","★",1
"therealstormlx","Totalmente desnecessário este filme.","30 Mar 2024","★★½",2
"John Huntzinger","The action is dull and the exposition is confusing. This unnecessary sequel has forgotten everything that made the original movie so awesome.","30 Mar 2024","★★",2
"ozynsane","Neo honestly should have just kicked the bucket and died","17 Jun 2023","★",1
"Insomniceyes","Don't even consider this as a part of matrix film franchise.","15 Jan 2022","★",1
"allen bleich","slapstick naptime but keanu looked great in the one shot where his head is shaved","30 Mar 2024","★",1
"B","Oddly similar Fugue state vibes","27 Mar 2024","★★★★",4
"Eric Krehbiel","Got around to this one a few years after it's release. I'm not sure what I expected but this was the most mild disappointment.","29 Mar 2024","★★½",2
"tintarizoma","The first act of this film had me thinking it might go somewhere interesting, but the whole affair ended up feeling like yet another ""Force Awakens"" style reboot by the end. Yes the romance with Trinity and Neo works pretty well, because that's literally the lifeline of the franchise.","30 Mar 2024","★★★½",3
"robsonbell","Somehow all of the action sequences felt...…","29 Mar 2024","★★",2
"Jack","porra fodase que o neo só usa poderzinho eu adorei o devir-esquizo de meia idade potencializado pelo amor verdadeiro","30 Mar 2024","★★",2
"vikenti","Completely unnecessary, feels like a complete waste and an insult to the original.","30 Mar 2024","★★★★",4
"Leon Carroll - Gedge","What","29 Mar 2024","★★★★",4
"Kieran Rudrum","(Vu au cinéma) Je trouve que c'est le meilleur de la trilogie !!","29 Mar 2024","★★",2
"Colyton95","This review may contain spoilers. I can handle the truth.","29 Mar 2024","★★★",3
"Vitumbiko Liomba","I can't believe this film bamboozled me into thinking the matrix trilogy was just a bunch of video games","29 Mar 2024","★",1
"Olivergiles","Out of all the sequel/reboots of the last few years (that I've bothered to watch), this must be the laziest off all of them. Completely running on fan service and meta injoke bullshit which the Scream film a few years ago did do much better, all that this one made me think was ""I wish I was watching the original matrix, I wish that at the very least I was watching matrix reloaded""","29 Mar 2024","★★½",2
"Julien Vial","What's more, although there was so good…","24 Dec 2021","★★★",3
"Ana","The good, there are some really fresh ideas in here and it's overall not a bad entry in the franchise, in fact it was entertaining. The bad, it lost some of that early 2000s aesthetic that made the first three movies distinguishable. It also feels like some of the cast changes or new cast held back some of the scenes. Then again, it's hard to fill in the shoes of Laurence Fishburne and Hugo Weaving.","29 Mar 2024",NA,NA
NA,"Defund franchises!",NA,NA,NA
NA,"The first matrix movie but 10x more confusing and boring",NA,NA,NA
NA,"I liked a lot the first 15 minutes... Then I love the idea of the film but not really the film itself",NA,NA,NA
NA,"no la pude terminar porque a ver, buena tampoco es. Pero la función de película que ver de según qué manera y reírte ahí está.",NA,NA,NA
"maria","did i understand it? no. but did i get it? yes!","29 Mar 2024","★★★★",4
"Jasper","The weakest of the matrix movies but the strongest of franchise reboots imo. I honestly found it really provoking. Not nearly as bad as people made it out to be.","29 Mar 2024","★★★",3
"Noureddine Messaoudi","Who doesn't love some Orpheus and Eurydice inspiration?","29 Mar 2024","★★★",3
"Nate","-The sheeple are not going anywhere. They like my world. They don't want this sentimentality. They don't want freedom or empowerment. They want to be controlled. They crave the comfort of certainty.-We're not here to negociate. We're just here to change a few things. Remind people what a free mind can do.","29 Mar 2024","★★★★½",4
"brayoui","Very pertinent metaphor. We cannot force people into exiting the Matrix. That is a choice they're always have to make for themselves according to their will and capacity to attain freedom. All we can do is giving hints, show them all the things we can achieve by setting our minds free.","29 Mar 2024","★★★",3
"C N","oh my god…i get it","29 Mar 2024","★★½",2
"aysmml","got the point of this movie right away and sat there the whole time laughing wondering why everyone hated this lol","29 Mar 2024","★★★★",4
"Somedorkonline","didn’t get emotionally wrapped up in it as most people did which makes me feel like i missed out","29 Mar 2024","★",1
"V1kingDeadShot","i watched this late and kept on zoning out and it felt like i was watching some blockbuster slop where most of the scenes felt like a self driving car going into the automated machine factory to clock in for…","29 Mar 2024","½",0
"Alfie","Me identifico con keanu en la bañera con el patito de goma en la cabeza","29 Mar 2024","★★★",3
"albertoscerri","ben bu filmi sinemada biri ile izlemistim . cok odaklanamadık. cok cok da guzel degildi. zaten çıkışta da ilk kavgamızi etmistik","28 Mar 2024","★★★",3
"peach!","As a chronically online girl, this spoke to me","26 Mar 2024",NA,NA
NA,"The idea/concept of it was incredible. Terrible execution.",NA,NA,NA
NA,"Absolutely horrific",NA,NA,NA
NA,"Num curso de dois dias que fiz nesta semana, os alunos e o professor ficaram refletindo sobre como uma estética de um momento ganha uma certa aura. O exemplo eram as fitas VHS, com suas imagens saturadas e linhas que distorciam tudo, mas que hoje viraram linguagem de uma época (anos 80, 90). Matrix tinha uma estética misteriosa, bad-ass, baseada nos PCs com DOS e a tela preta com códigos verde. Tudo era meio esverdeado. Os personagens com roupas pretas,…",NA,NA,NA
NA,"it wasn't a bad movie. it was a good movie I liked it but soo unnecessary. The trilogy was good on its own and the ending was perfect. The beginning of this one was a bit hard to watch cause it was so modernized AND ALSO NOT GREEN RAAAH but it picked up and made for a pretty good movie. Just wasn't super needed but pretty cool to see what happened afterwards nonetheless",NA,NA,NA
"NikiNakiNoo","I was a bit disappointed, for me, it didn't really come to life. I might watch it again and see if it grows on me.","29 Mar 2024","★★",2
"Billy Beyrer","I need to stop watching this high.","29 Mar 2024","★½",1
"theflimpope","There was no need for this part. They just forced a movie sequel which was not needed. For me Matrix was ended with the revolutions. Previous 3 parts are the masterpiece not to be compared with this one.","09 Sep 2022","★★★",3
"Eirik Dentz Sinclair","I really wanted to like it more. Maybe on the next watch…","01 Mar 2024","★",1
"chris_rollason","An incredibly unambitious and boring retread of the previous films.","23 Mar 2024","★★",2
"emma :)","makes me want to bump up my rating of the og","28 Mar 2024","★★★★½",4
"Noah Davis","So fucking brilliant. Some of the seams are a bit more apparent to me, but the highs are so high I still don’t really mind.","28 Mar 2024","★★½",2
"KevOnFilm","Solo at Park Ave","28 Mar 2024","★★",2
"Meridian_","At this point, I feel like any attempt at giving the original film a follow up was gonna be a Herculean task.","26 Mar 2024","★★½",2
"lubelihlemakoni","Positives: Despite the current age of Keanu Reaves, he still proves he is ‘the one’ when it comes to who plays Neo (bad joke but I don’t care). Same with Carrie-Ann-Moss.","29 Mar 2024","½",0
"John","Mixed: The meta aspects. On one hand, I’m sure Lana knew this was (probably) gonna end up being another miss what with the studio milking the original hard. I’m…","28 Mar 2024",NA,NA
"peggoc","There were a few moments early on where I was almost ready to accept the direction it was taking. But ultimately it led to nowhere inspiring.","29 Mar 2024",NA,NA
NA,"probably one of the worst movies i’ve ever seen in my life but oh well.the rabbit",NA,NA,NA
NA,"“Real…There’s that word again.”",NA,NA,NA
NA,"Still dig it. The subversion and anti-nostalgia vibes put it up there with sequels like T2: Trainspotting or Twin Peaks: The Return. Awesome.",NA,NA,NA
NA,"nope",NA,NA,NA
"zhajiangmian","it’s enjoyable enough, but the self-referential super meta of it all, i thought was contrived and over the top. that is, it was soovertly self-aware, it took me out of the universe it was trying to create. like a B-movie satirical spoof of the original trilogy.","27 Mar 2024","★★½",2
"Justin","yet i am keanu hive all the way, he really carries this movie, love him love him. some other very questionable casting decisions in neil patrick harris and priyanka chopra, but jonathan groff and pretty much the entire cast of Sense8 were quite good. carrie anne moss and jada pinkett were terrific as expected.","28 Mar 2024","★★★★½",4
"MagicDuckLord","Love that Lana spends the opening of this movie reminding us this was the studio’s decision more than mine, then proceeds to put on a clinic to remind us the wachoski name can do high quality popcorn movies with the best of them no matter what","28 Mar 2024","½",0
"Raffi Aşcı","This review may contain spoilers. I can handle the truth.","27 Mar 2024","★★★★½",4
"hanaaaa","You can clearly tell they just wanted money while making then and didn’t bother expanding the great story of the trilogy","28 Mar 2024","★★★",3
"Ellis Meadows","inşa ettiğin bir kültü, evreninini böyle yıkmak…. hayatımda izlediğim en havalı şeylerden biri","28 Mar 2024","★★½",2
"Andy Ashby","omg lana sana aşığım❤️❤️❤️","28 Mar 2024","★★★",3
"Litterboxd","it wasn’t that bad but i’m just gonna pretend there was not a sequel to the matrix trilogy","28 Mar 2024","★½",1
"Corbin_Allen","This film is more confusing than my thermodynamics exam","28 Mar 2024","★★½",2
"DollyPartition","The bits with Dougie Howser were fun. But we've been here before. More than once.","28 Mar 2024","★★★½",3
"Alfrida","Is there a pill to forget what I just saw?","28 Mar 2024","★★★½",3
"sienajade","Sub par to say the least, easily the worst in the series and it does this by going back on almost everything the 3 previous movies set up and completely turning it on it’s head","28 Mar 2024","★★★",3
NA,"It was good!",NA,NA,NA
