"","name","comment","date","rating","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"48","Kchao","Revisiting the Matrix TrilogyLog #2 - The Matrix Reloaded","01 Apr 2024",3,0,0,0,0,0,0,0,0,0,0
"49","Els Cronin","INTRODUCTIONJust like the first movie, my history with Reloaded goes way back. At the time, it was one of the first DVDs I bought myself with my own money. At the time, I think this was my least favourite in the franchise, but that's not the case anymore.","01 Apr 2024",3,1,2,0,1,1,1,1,1,1,1
"50","jinroger","THE PROBLEM IS CHOICEThe first movie questioned the fabric of reality extensively. Our perspective was that of a newcomer to…","01 Apr 2024",3,0,0,0,2,0,1,1,0,1,0
"51","Dan Rohde","Оч странные ощущения от просмотра,когда вроде так много бесполезного впихнули,но вроде и сильно от этого не страдаешь.Фильм вытаскивается боевкой и в целом всем,что происходит внутри матрицы(пускай там плохая графика,но свой шарм в ней есть,разве что больно уж странно и несуразно выглядит переход из графики в обычную съемку)Не настолько скучно,как могло быть,понимаю кому понравилось меньше","01 Apr 2024",3,0,0,0,0,0,0,0,0,0,0
"52","Amy","""Why don't you sample this instead?""","01 Apr 2024",3,0,0,0,0,0,0,0,0,0,0
"53","tomato99","give me more of keanu reeves in long coat","01 Apr 2024",3,0,1,0,0,0,0,0,0,0,0
"54","lotionjones","Gets downgraded a half star for the Zion orgy","01 Apr 2024",1,0,1,0,0,1,0,0,1,0,1
"55","thugpizza","Good Golly there's Keanu Reeves butt in this movie","25 Mar 2024",3,0,1,0,0,1,0,1,1,1,1
"56","ShtelandVorace","Cool, but the first chapter is better.","01 Apr 2024",NA,0,0,0,0,0,0,0,0,0,1
"57",NA,"Is this the one where Trinity walks in on Neo jackin’ it to hentai?",NA,NA,0,0,0,0,0,0,0,0,0,0
"58",NA,"Ok.",NA,NA,0,0,0,0,0,0,0,0,0,0
"59",NA,"Trop d'actionnnn les scènes sont interminables Y'a quand meme des moments où on a pas l'impression d'etre dans un blockbuster faussement compliqué et ces moments sont cools et continuent un peu la réflexion du premier",NA,NA,0,0,0,0,0,0,0,0,0,1
"60","svenjxy","*Netflix*""Matrix Reloaded""","01 Apr 2024",3,0,0,0,0,0,0,0,0,0,0
"61","Theo","Besser, als der erste Teil. Coole Kampfszenen und der gezielte Einsatz von Slow-motion Sequenzen machen die Szenen dynamischer und unterstreichen den Austragungsort in der Matrix.","31 Mar 2024",5,0,1,0,1,0,1,0,0,1,0
"62","whatdog","“Choice is an illusion created between those with power and those without.”","01 Apr 2024",4,0,0,0,0,0,0,1,0,1,1
"63","julyveenstra","If The Animatrix anthology was the best to explore the world and ideas of an already masterful film, The Matrix Reloaded is the greatest possible direct continuation of Lana and Lilly Wachowski’s film The Matrix.","01 Apr 2024",3,0,2,0,0,0,0,0,0,0,0
"64","estebvnl","Huge swings and an even grander scope comes with this continuation of a grand tech opera, there’s an orgasm cake, martial arts fights blended with CGI on par with the first film(Burly brawl…","01 Apr 2024",5,3,3,1,2,2,1,1,1,1,2
"65","Jackson","This review may contain spoilers. I can handle the truth.","31 Mar 2024",4,0,0,0,0,0,0,0,1,0,1
"66","Michelle Harrison","Everyone will say, ""It's not nearly as good as the first movie"", which is mostly true, it has no choice but continue with the prophecy threads which were the weakest parts of the Matrix 1, it can't quite live up to the spectacle of the BIG REVEAL of the Matrix 1, it's weaker on the baby's-first-philosophy scenes, but it's still just SO GOOD.","01 Apr 2024",4,0,3,0,0,1,0,1,2,1,4
"67","molesome","Cinematography, fight choreography, acting, it all whips. It's also spectacularly horny, the techno dance at the earth's core, the ultra aphrodesiac dessert, the scorned yearning program wife, Neo reaching inside Trinity to restart her heart, I love it all","01 Apr 2024",4,1,1,0,1,3,0,0,2,2,4
"68","usereki","Sci-fi is too much for me, but Neo and Trinity are cute","01 Apr 2024",4,0,0,0,0,0,0,0,0,0,1
"69","Philippa Vlachopoulou","comme le 1 sérieux c'est trop","30 Mar 2024",3,0,0,0,0,0,0,0,0,0,0
"70","eesiava","An admittedly boring first 40 minutes of endless exposition and a further 20 minutes of cool ass action intercut with more boring exposition are a small price to pay for a 70 minute third act that blows every other action set piece out of the water. The choreography’s reliance on early 2000s CGI will seem dated to some but don’t even really matter to me because I was just continually in delight at whatever cool shit the Wachowski sisters decided to show me.","31 Mar 2024",2,2,2,1,1,3,1,0,5,5,7
"71","Leeviya","This review may contain spoilers. I can handle the truth.","01 Apr 2024",NA,0,0,0,0,0,0,0,1,0,1
"72",NA,"Yo le juro que si se moría Trinity lloraba",NA,NA,0,0,0,0,0,0,0,0,0,0
"73",NA,"So many people fixated on orgasm cake. I'm sorry if you've never had orgasm cake, perhaps visit a Parisian patisserie?",NA,NA,0,1,0,0,1,0,0,0,0,2
"74",NA,"Goood",NA,NA,0,0,0,0,0,0,0,0,0,0
"75",NA,"Anyone wanna go to a rave party in Zion?",NA,NA,1,0,1,0,1,0,1,1,1,1
"76",NA,"mmm mmmm mmmmmm",NA,NA,0,0,0,0,0,0,0,0,0,0
"77",NA,"Sequel gone wrong.Also, wth was that animated fight sequence??",NA,NA,1,1,0,1,1,0,0,0,2,1
"78","R D","As a follow up to the zeitgeist that the initial one created, it doesn't quite approach the close highs of the first.","01 Apr 2024",3,0,0,0,0,0,0,0,0,0,0
"79","tay","As a film for watching rubber Keanu Reeves pound and penetrate men while acting like a goth Superman, it fucking soars.","01 Apr 2024",4,1,0,0,0,1,0,0,1,1,1
"80","RoseTano66","10/10 for the cheese, but I'm already forgetting about this one, whereas it's impossible to forget the first's story.","01 Apr 2024",5,0,0,0,0,0,1,0,0,2,0
"81","eleanor grace","we love our trinity, dont we folks","01 Apr 2024",4,0,0,0,0,1,0,0,0,0,1
"82","Tyler Carcara","The architects speech is so much easier to follow than I remember, dude pretty clearly spells it out","31 Mar 2024",5,0,1,0,0,1,0,0,1,0,2
"83","April","I love you. now THIS is dialectics. I love you! literally the best movie ever made and I've always said this and I'll always be right. I love you!!!","31 Mar 2024",1,0,0,0,0,1,0,0,0,0,1
"84","sabina a","This is not as bad as I remember it being. In fact this movie looks better than 99% of blockbusters I’ve seen in the last 10 years not named Mad Max: Fury Road.","06 May 2020",4,3,0,2,3,0,3,0,1,3,0
"85","Nick","The 30 minute stretch of non stop action might be where movies peaked!!","01 Apr 2024",3,0,0,0,0,0,0,0,0,0,1
"86","BeefStu","mid ash","29 Mar 2024",3,0,0,0,0,0,0,0,0,1,0
"87","gabii !","“How could you not say cunt? Like that’s cunt!”","01 Apr 2024",4,0,0,0,0,0,0,0,0,0,0
"88","dyldonahue","So I just watched this for the first time ever.Honestly I’ve got a headache after watching this.","31 Mar 2024",3,0,1,0,0,0,0,0,0,1,0
"89","leito01","This plot is so disorienting and contradictory and I’m so disappointed this is what they came up with after the first movie. Gosh…Yes this movie has its moments but they are far and few in between.","26 Jan 2024",NA,1,0,1,0,0,1,0,0,2,0
"90",NA,"I watch this with subtitles (like usual) but even this was difficult to follow. I can’t imagine watching this when it came out in theaters cause…",NA,NA,0,1,0,2,0,0,0,1,0,1
"91",NA,"I didn't like it, but I didn't hate it, it's enough for the middle of a franchise.",NA,NA,1,0,1,1,0,1,0,0,1,0
"92",NA,"This could be higher than 8/10… arguably better than the first, it matched the awesome actual sequences with a deeper dialogue over the illusion of choice that was fun to watch",NA,NA,0,2,0,1,1,0,1,0,1,3
"93",NA,"no está mal pero tampoco me volo la cabeza como la 1",NA,NA,0,0,0,0,0,0,0,0,0,0
"94","bl00dybatat0na","logra el equilibrio entre la acción, el romance y los subtonos filosóficos de la existencia y del ser","01 Apr 2024",5,0,1,0,1,1,1,1,1,0,1
"95","mickey","Neo and Trinity have incredible chemistry","31 Mar 2024",2,0,0,0,0,0,0,0,0,0,0
"96","Gettin_Rizzy","Not a perfect movie but still pretty enjoyable, C","27 Dec 2021",3,0,2,0,0,2,0,0,2,0,2
"97","DavidDLuong","I can’t tell you many times I’ve watched The Matrix (1999) and had my mind blown. It’s probably around the same time amount of times I’ve tried to finish watching The Matrix: Reloaded (2003) in the last month.","31 Mar 2024",3,0,1,0,0,0,0,0,0,0,0
"98","Kiley Snobeck","Which makes me feel stupid because it’s the same world and the same characters, but I get lost with all the new stuff… Architects and Keymakers and Ghosts and Merovingian? Explain it to me and I’ll buy you a popcorn.","31 Mar 2024",3,0,0,0,0,0,1,0,1,2,1
"99","akagman","Superman?","31 Mar 2024",3,0,0,0,0,1,0,0,1,0,1
"100","carsonemovie","This review may contain spoilers. I can handle the truth.","31 Mar 2024",3,0,0,0,0,0,0,0,1,0,1
"101","La Ro","A pesar de el inicio el cual m hizo sentir que me perdí de algo debido al salto en el tiempo que da de la película anterior, conforme va avanzando solo me parece mas impresionante haciéndola una digna secuela de su antesesora, además de las increíbles escenas de acción que me parecen las mejores d toda la trilogía, aunque en su mayoría son cosas que se deberían de dar de otra manera aunque todo da para que haga de todo…","31 Mar 2024",3,0,0,0,0,0,0,0,0,0,1
"102","Mark Lotto","Horny levels up 200% from the previous movie","31 Mar 2024",3,0,0,0,0,0,0,0,0,0,0
"103","bennn","Terrible cgi thrown in","31 Mar 2024",2,1,0,1,1,0,1,0,0,1,0
"104","Owl","Awesome fighting and car chase scene","31 Mar 2024",5,1,0,0,0,0,0,0,0,2,0
"105","Eden","Get a man who after kissing Monica Bellucci decides to stay with you. Keanu, the lucky man that you are","01 Apr 2024",3,0,0,0,0,1,0,1,0,0,1
"106",NA,"In the plus column: Monica Bellucci hungrily demands a kiss, which automatically makes any movie good. Neo holds Trinity’s heart in his hand. The mansion fight invents John Wick. The highway fight invents Fast Five through Fast X. The orgy rave once seemed so square and now it seems impossibly tender.",NA,NA,2,2,2,1,4,0,3,3,3,4
"107",NA,"In the minus column: Every Smith fight sucks video game ass. Those long coats seem very impractical. And, oh, right, there’s no coherent propulsive emotional through line at all. ‘Cause “Find the…Key Master?” ain’t exactly “What is the Matrix?” or “Is Neo the One?”",NA,NA,1,1,0,1,0,0,0,1,2,2
"108",NA,"Obviously loved the action sequences (the freeway! so sick!), but they definitely didn’t feel as backed by the narrative as the first. Felt like it was trying to go for big philosophical ideas which weren’t fully working for me. Still a pretty great time even if it’s not as airtight as its predecessor.",NA,NA,0,2,1,0,1,1,0,2,1,4
"109",NA,"there are like 5 different scenes in this movie where someone just explains the movie’s themes to neo because the action is so insanely sick that nobody would pay any attention to the philosophical shit if they didn’t.",NA,NA,1,1,2,0,1,1,0,1,2,3
"110",NA,"why do people hate the matrix sequels? are they stupid?",NA,NA,1,0,1,1,0,1,0,0,2,0
"111",NA,"I didn't like this one as much as the first one. However Neo is so fine it hurts, I kinda get why Agent Smith chases him like crazy",NA,NA,1,0,0,1,0,1,0,1,1,0
"112","ximee_p_","no estuvo taaaan buena como la primera, pero igual me gustó","31 Mar 2024",3,0,0,0,0,0,0,0,0,0,0
"113","camilly vicente","essa menina ser tão emocionada colocou a vida de uma sociedade em perigo...","31 Mar 2024",4,0,0,0,0,0,0,0,0,0,0
"114","Armin Rocha","Mñe","31 Mar 2024",3,0,0,0,0,0,0,0,0,0,0
"115","Kuro2427","It's nowhere near as bad as people say it is. In some aspects I'd even argue it's better than the original tbh","31 Mar 2024",4,2,0,1,1,0,1,0,0,2,0
"116","StrangerAxolotl","Man what tf were they thinking with that weird ass rich creep? Rest of the movie slams though and is way more fun than the first film.","31 Mar 2024",4,0,1,1,0,1,0,0,0,3,2
"117","zoe","good","31 Mar 2024",4,0,1,0,0,1,0,1,1,0,1
"118","Flavie","Les courses poursuites sont folles","31 Mar 2024",4,0,0,0,0,0,0,0,0,0,0
"119","lillyay","Mehr zu viel lange Action","31 Mar 2024",3,0,0,0,0,0,0,0,0,0,1
"120","Kelvin Oliveira","Nessa sequência o filme cresce, expande suas pretensões e escopo, porém a harmonia e o aspecto de ""narrativa revolucionária"" não estão mais presentes.","31 Mar 2024",3,0,0,0,0,0,0,0,0,0,0
"121","Guilty Remnant","Inúmeras cenas deste podem serem vistas como referências para outras obras, sendo a ação a força motriz do roteiro. Mas mesmo com as várias cenas eletrizantes, o filme tem pouco a acrescentar a não ser pelo desenvolvimento de Zion e a continuação da jornada de Neo.Dito tudo isso, estive muito dentro desse Universo.","04 Dec 2021",4,0,0,0,0,0,0,0,0,1,0
"122","Martin_Jaja","Aún con algún ""pero"" me parece una dignísima secuela con unas escenas de acción espectaculares.","31 Mar 2024",4,0,0,0,0,0,0,0,0,0,0
"123","Bohdan Pankrukhin","El cgi canta un poco pero para mí es lo de menos. El lore lo expanden de una manera interesante.","31 Mar 2024",5,0,0,0,0,0,0,0,0,0,0
"124",NA,"Al final la película es hija de su tiempo, es decir, dosmilera a full.",NA,NA,0,0,0,0,0,0,0,0,0,1
"125",NA,"en Zion se mandaban altas orgias. No tengo pruebas pero tampoco dudas",NA,NA,0,0,0,0,0,0,0,0,0,0
"126",NA,"The best action film in history. I mean this style, choreography, music …. I missed that time when every blockbuster was a piece of art.",NA,NA,0,2,0,0,2,2,1,0,0,3
"127","BrandonBMore","This movie is so so so so SO horny and I adore that","31 Mar 2024",4,0,1,0,0,1,0,0,1,0,1
"128","ponzomatias","1)que mierda significa la fiesta tecno de todos en pelotas cojiendo PREVIO a un ataque enemigo??? porque son todos negros los que despertaron pero en la matrix muestran todos blancos?","31 Mar 2024",3,0,1,0,0,1,0,1,1,0,1
"129","Connor","2)oppenheimer se insipiro en esto evidentemente para hacer esa escena de mierda cojiendo, que fetiche tienen los yanquis de hollywood con las orgias la puta madre","31 Mar 2024",4,0,0,0,0,0,0,0,0,0,0
"130","likhith","3)este gordo tiene sueños premonitorios afuera de la matrix ??????? si se supone qje los poderes que tiene son x la matrix","31 Mar 2024",3,1,0,0,0,0,1,0,0,1,0
"131","bruna","4)porque EL CONSEJO SUPREMO DE LA HUMANIDAD SON TODOS HIPPIES","31 Mar 2024",4,0,0,0,0,0,0,0,0,0,0
"132","Mike","April yelling at everyone on Easter because I called Neo computer jesus","31 Mar 2024",2,0,0,0,0,0,0,0,0,0,0
"133","Quinnonketamine","This is the part where the Hero journey is not considered and it turns out to be just a usual Sci-fi..The fight choreography and the VFX was good and trend setter - I understand that!.both matrix movies had weak writing in the first half which gets saved in the second half due to engaging action sets!I SAID WHAT I SAID!","31 Mar 2024",3,1,3,0,2,4,0,2,4,1,7
"134","mmeeoowwaa","depois de assistir esse me vejo na obrigação de ir em um techno","31 Mar 2024",5,0,0,0,0,0,0,0,0,0,0
"135","mxch3","I'm not sure this sequel needed to be a thing. I respect that the narrative world is large enough to sustain it but the original was just so good...","31 Mar 2024",2,0,3,0,0,2,0,1,2,0,2
"136","Neil Bahadur","It may not be as good as the first one but it’s still friggin COOL","31 Mar 2024",5,0,1,0,0,1,0,1,1,0,2
"137","manosko","reminds me of مشرق","31 Mar 2024",2,0,0,0,0,0,0,0,0,0,0
"138","Wake","the worst of the three","31 Mar 2024",3,0,0,0,0,0,0,0,0,0,0
"139",NA,"This is basically Christopher Nolan's Tenet, advanced class - despite coming out almost 20 years before (not that I don't love that movie too). Beautifully and intricately conceived on every level, remarkable to see all the films discourse on causality extend itself all the way to the design of the set-pieces themselves, as well as the structure of the film as a whole. Easy favorite of the Matrix films, by quite a margin.",NA,NA,0,1,0,0,3,1,1,4,1,7
"140",NA,"remember the car chase scene, that was awesome",NA,NA,0,0,0,0,0,0,0,0,1,0
"141",NA,"More ambitious action scenes than the first but they didn’t hit half the same",NA,NA,1,0,0,0,0,0,0,0,1,1
"142","Lindsey","#💊 #cyborgs","31 Mar 2024",4,0,0,0,0,0,0,0,0,0,0
"143","Hamed Alamri","What if I say this movie slaps🗿 dam it's good.","31 Mar 2024",3,0,1,0,0,1,0,1,1,0,1
"144","gold_ghost","طول حياتي كنت اتجنب الاجزاء المكملة ل الجزء الاول بسبب انه كنت دايم اسمع انه افلام سيئة لكن انا منصدم هل هذولا ناس شافو نفس الفلم الي انا شفته.","",4,0,0,0,0,0,0,0,0,0,0
"145","valennsopa","Not as good as the first, but better than the other sequels. I just want to know where I can get a cake like that","31 Mar 2024",4,0,1,0,0,1,0,1,1,0,1
"146","Rafael Rita","AMIGO COMO VA A TERMINAR ASI LA PELICULA DALE bastante buena pero al principio medio lio y aburrido asi q es mejor la primera","30 Mar 2024",4,0,0,0,0,0,0,0,0,0,0
"147","lenulous","Not so good like the first, but still got one of the best action of the century","30 Mar 2024",2,0,1,0,0,1,0,1,1,0,2
"148","sofiacoppola_","Love the symbolism in this film and the keymaker","30 Mar 2024",2,0,0,0,0,1,0,0,0,0,1
"149","Lars_Honeytoast","Love it when the sequel is just as good as the first movie","30 Mar 2024",5,0,2,0,0,2,0,1,1,0,2
"150","restarted","Apologies to those who love it, this movie is dumb","30 Mar 2024",4,0,0,0,0,1,0,0,0,1,1
"151","zachhayes","Not sick","30 Mar 2024",3,0,0,1,0,0,1,0,0,1,0
"152","SamLevyJ","the matrix is the best movie series because it’s like what if jesus knew kung fu and wore a trenchcoat and had sex and was in love and hugo weaving was the devil?","05 Mar 2024",NA,1,2,1,1,2,1,0,2,1,2
"153","AlexthegreatWWE","Alweer tijdje terug dat ik deze film opnieuw keek. Ik werd verrast door hoe goed ik hem vond, dat stond me niet zo bij. Naast het terugzien van een van mijn favoriete filmscenes ooit werd ik positief verrast door de filosofische vragen die in deze film nog sterker aanwezig leken te zijn dan in de klassieke eerste film.","28 Mar 2024",NA,0,0,0,1,0,1,0,0,1,0
"154",NA,"This is my second time watching this film and I still have no idea what's going on most of the time, but I see kung fu fighting so keep watching.",NA,NA,1,1,0,0,0,0,0,0,1,0
"155",NA,"To me this is the second worst in of the franchise, but it still has it pros and I began to appreciate it, where on my first watch I didn't care for it much. The cast runs the show with Neo and Smith being my favorites and eat up every…",NA,NA,0,1,0,1,0,0,0,2,0,1
"156","lenalovegood","Trinity my wife","30 Mar 2024",3,0,0,0,0,0,0,0,0,0,0
"157","Mateo","Holy Moly This movie has a large amount of sauce they got Laurence Fishburne doing some Bruce Lee shit and Keanu Reeves being Superman, but I also say this is  a perfect sequel to me because it stays with the tone of the first one and is aesthetically pleasing, which is all I want in a movie sometimes.","30 Mar 2024",5,1,2,1,0,2,0,0,2,1,3
"158","Trevor Motes","This movie is gas it just feels like a continuation of the first one idk why people don’t like it as much","30 Mar 2024",4,0,1,0,0,0,0,0,1,0,1
"159","miranda","he’s doing his superman thing","29 Mar 2024",5,0,0,0,0,1,0,0,1,0,1
"160","luciagamez","me gustó más la primera, esta es muy sin más pero está muy bien","30 Mar 2024",4,1,0,1,1,0,1,0,0,1,0
"161","Bonnie Fontana","loved to see the sim version of keanu reeves in this","28 Mar 2024",3,0,0,0,0,0,0,0,0,0,0
"162","serena","okayyy zion is diverse af","30 Mar 2024",4,0,0,0,0,0,0,0,0,1,1
"163","DarlingNewHat","A dazzling studio cash grab with a modicum of riveting storytelling amidst the tiresome and redundant battle scenes. The sequels were a lost cause the day the original dropped; it was the toughest of acts to follow, and its Big Reveal could never be equalled.","28 Dec 2003",3,3,1,0,1,1,1,0,1,5,2
"164","Beameranged","Plot had potential, but there was not enough of it. Much time is given to largely redundant and bizarrely bloodless fight scenes — with beautiful backdrops and impressive effects — that are far too long and repetitive. This could also be said of the entire experience. Another reload holds little appeal, but is mandatory due to avaricious structure.","30 Mar 2024",2,1,3,0,1,1,0,0,1,2,3
"165","Navaaa","better than 1","29 Mar 2024",3,0,0,0,0,0,0,0,0,0,0
"166","therealstormlx","Imagina aparecerem 200 Smiths na street a quererem agredir te","30 Mar 2024",4,0,0,0,0,0,0,0,0,0,0
"167","S. J. S Sprague","I’ve said it before the unevenness of this sequel is caused by the filmmakers doing too much at once too much lore and mythology, too much action and way too much fancy costumes. Because of this at times it almost feels like a parody of the first film.","30 Mar 2024",3,0,2,0,0,1,0,0,0,0,2
"168",NA,"There actually a moment in matrix reloaded when I half expected Niobe (played by Jada Pickett Smith) current partner Lock (played by Harry Lennix) to yell at Morpheus her ex partner (Lawrence Fishbourne) “keep my wife’s name out ya fuckin mouth”",NA,NA,2,1,0,1,0,1,2,1,2,1
